,Player,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,Unnamed: 14
841,Mushfiqur Rahman (BDESH),2000-2004,28,360,49,16.36,0,19,2/21,51.73,0,6,0,-35.37,
842,AH Omarshah (ZIM),1983-1996,28,437,60*,16.8,0,18,3/33,45.11,0,6,0,-28.30,
843,JL Ontong (Afr/SA),2001-2012,28,184,32,13.14,0,9,3/30,44.00,0,15,0,-30.85,
844,SB Smith (AUS),1983-1985,28,861,117,39.13,2,0,-,-,0,8,0,-,
845,CD Wallace (SCOT),2012-2019,28,482,58,20.95,0,-,-,-,-,13,2,-,
846,KD Walters (AUS),1971-1981,28,513,59,28.5,0,4,2/24,68.25,0,10,0,-39.74,
847,BJ Watling (NZ),2010-2018,28,573,96*,24.91,0,-,-,-,-,20,0,-,
848,MH Yardy (ENG),2006-2011,28,326,60*,20.37,0,21,3/24,51.19,0,10,0,-30.81,
849,Aftab Alam (AFG),2010-2019,27,80,16*,11.42,0,41,4/25,25.19,0,6,0,-13.76,
850,JWM Dalrymple (ENG),2006-2007,27,487,67,19.48,0,14,2/5,47.57,0,12,0,-28.09,
851,Ijaz Faqih (PAK),1980-1988,27,197,42*,12.31,0,13,4/43,63.00,0,2,0,-50.68,
852,Minhajul Abedin (BDESH),1986-1999,27,453,68*,18.87,0,13,2/39,39.30,0,2,0,-20.43,
853,Mohammad Mithun (BDESH),2014-2020,27,575,63,28.75,0,-,-,-,-,7,0,-,
854,WV Raman (INDIA),1988-1996,27,617,114,23.73,1,2,1/23,85.00,0,2,0,-61.26,
855,FA Rose (WI),1997-2000,27,217,30,12.05,0,29,5/23,36.06,1,6,0,-24.01,
856,AM Samad (CAN),2003-2009,27,740,130,29.6,1,7,1/8,40.14,0,9,0,-10.54,
857,Sanwar Hossain (BDESH),1998-2003,27,290,52,11.6,0,10,3/49,32.70,0,11,0,-21.09,
858,Sikander Bakht (PAK),1977-1989,27,31,16*,7.75,0,33,4/34,26.06,0,4,0,-18.31,
859,TAM Siriwardana (SL),2015-2019,27,516,66,22.43,0,9,2/27,60.77,0,6,0,-38.34,
860,CJO Smith (SCOT),2006-2009,27,432,59,19.63,0,-,-,-,-,22,11,-,
861,RW Taylor (ENG),1973-1984,27,130,26*,13.0,0,-,-,-,-,26,6,-,
862,JWA Taylor (ENG),2011-2015,27,887,101,42.23,1,-,-,-,-,7,0,-,
863,AJ Traicos (ZIM),1983-1993,27,88,19,11.0,0,19,3/35,51.94,0,3,0,-40.94,
864,A Vala (PNG),2014-2019,27,739,104,27.37,1,27,3/20,24.00,0,16,0,3.37,
865,MRJ Watt (SCOT),2016-2019,27,147,31*,14.7,0,35,4/42,29.51,0,6,0,-14.81,
866,KCG Benjamin (WI),1992-1996,26,65,17,10.83,0,33,3/34,27.96,0,4,0,-17.13,
867,TL Best (WI),2004-2014,26,76,24,9.5,0,34,4/35,34.02,0,4,0,-24.52,
868,MG Burgess (NZ),1973-1981,26,336,47,16.8,0,1,1/10,69.00,0,8,0,-52.19,
869,IG Butler (NZ),2002-2010,26,84,25,10.5,0,28,4/44,37.07,0,8,0,-26.57,
870,LOB Cann (BMUDA),2006-2009,26,590,52,26.81,0,1,1/34,129.00,0,9,0,-102.18,
871,G Fowler (ENG),1983-1986,26,744,81*,31.0,0,-,-,-,-,4,2,-,
872,MJ Hoggard (ENG),2001-2006,26,17,7,4.25,0,32,5/49,36.00,1,5,0,-31.74,
873,AJ Ireland (ZIM),2005-2007,26,30,8*,3.75,0,38,3/41,29.34,0,2,0,-25.59,
874,JP Maher (AUS),1998-2003,26,438,95,25.76,0,-,-,-,-,18,0,-,
875,SI Mahmood (ENG),2004-2009,26,85,22*,7.72,0,30,4/50,38.96,0,1,0,-31.23,
876,AK Markram (SA),2017-2019,26,643,67*,27.95,0,3,2/18,44.00,0,12,0,-16.04,
877,MJ Mason (NZ),2003-2010,26,24,13*,8.0,0,31,4/24,33.03,0,4,0,-25.03,
878,DL Murray (WI),1973-1980,26,294,61*,24.5,0,-,-,-,-,37,1,-,
879,L Ngidi (SA),2018-2020,26,47,19*,15.66,0,53,6/58,21.50,1,8,0,-5.84,
880,E Otieno (KENYA),2007-2014,26,49,11,4.9,0,22,4/33,42.13,0,7,0,-37.23,
881,MK Pandey (INDIA),2015-2020,26,492,104*,35.14,1,-,-,-,-,7,0,-,
882,MS Panesar (ENG),2007-2007,26,26,13,5.2,0,24,3/25,40.83,0,3,0,-35.63,
883,RT Robinson (ENG),1984-1988,26,597,83,22.96,0,-,-,-,-,6,0,-,
884,MM Sharma (INDIA),2013-2015,26,31,11,7.75,0,31,4/22,32.90,0,6,0,-25.15,
885,Sohaib Maqsood (PAK),2013-2016,26,735,89*,31.95,0,1,1/16,42.00,0,9,0,-10.04,
886,JJ Tucker (BMUDA),2006-2009,26,496,52,19.84,0,13,2/23,53.92,0,9,0,-34.08,
887,DL Underwood (ENG),1973-1982,26,53,17,5.88,0,32,4/44,22.93,0,6,0,-17.04,
888,TP Ura (PNG),2014-2019,26,718,151,27.61,1,0,-,-,0,11,0,-,
889,KIW Wijegunawardene (SL),1988-1992,26,20,8*,2.85,0,25,4/49,39.44,0,3,0,-36.58,
890,P Willey (ENG),1977-1986,26,538,64,23.39,0,13,3/33,50.69,0,4,0,-27.30,
891,KBJ Azad (INDIA),1980-1986,25,269,39*,14.15,0,7,2/48,39.00,0,7,0,-24.84,
892,JM Brearley (ENG),1977-1980,25,510,78,24.28,0,-,-,-,-,12,0,-,
893,DR Brown (ENG/SCOT),1997-2007,25,319,50*,17.72,0,22,3/37,41.77,0,4,0,-24.05,
894,PKD Chase (IRE),2015-2018,25,35,14,3.5,0,34,3/33,39.88,0,5,0,-36.38,
895,PP Chawla (INDIA),2007-2011,25,38,13*,5.42,0,32,4/23,34.90,0,9,0,-29.47,
896,ADS Fletcher (WI),2008-2016,25,354,54,14.16,0,0,-,-,0,5,3,-,
897,ST Gabriel (WI),2016-2019,25,24,12*,3.42,0,33,3/17,34.36,0,1,0,-30.93,
898,AH Gray (WI),1985-1991,25,51,10*,8.5,0,44,6/50,18.97,1,3,0,-10.47,
899,BW Hilfenhaus (AUS),2007-2012,25,29,16,9.66,0,29,5/33,37.06,1,10,0,-27.40,
900,BJ Hodge (AUS),2005-2007,25,575,123,30.26,1,1,1/17,51.00,0,16,0,-20.73,
901,GJ Hopkins (NZ),2004-2010,25,236,45,14.75,0,-,-,-,-,27,1,-,
902,PJ Hughes (AUS),2013-2014,25,826,138*,35.91,2,-,-,-,-,5,0,-,
903,RK Illingworth (ENG),1991-1996,25,68,14,11.33,0,30,3/33,35.30,0,8,0,-23.96,
904,BP Julian (AUS),1993-1999,25,224,35,13.17,0,22,3/40,45.31,0,8,0,-32.14,
905,Khurram Chohan (CAN),2009-2014,25,165,35*,12.69,0,36,5/68,28.58,1,3,0,-15.89,
906,AP Kuiper (SA),1991-1996,25,539,63*,33.68,0,18,3/33,28.77,0,3,0,4.90,
907,A Kuruvilla (INDIA),1997-1997,25,26,7,3.71,0,25,4/43,35.60,0,4,0,-31.88,
908,W Larkins (ENG),1979-1991,25,591,124,24.62,1,0,-,-,0,8,0,-,
909,RT Lyons (SCOT),2006-2010,25,90,28,22.5,0,20,3/21,45.05,0,4,0,-22.54,
910,Manjural Islam Rana (BDESH),2003-2006,25,331,63,20.68,0,23,4/34,29.95,0,6,0,-9.26,
911,G Miller (ENG),1977-1984,25,136,46,8.5,0,25,3/27,32.52,0,4,0,-24.01,
912,Mohammad Wasim (PAK),1996-2000,25,543,76,23.6,0,-,-,-,-,9,0,-,
913,HG Munsey (SCOT),2017-2019,25,562,61,25.54,0,-,-,-,-,11,0,-,
914,Nadeem Ahmed (HKG),2004-2018,25,67,14,5.58,0,38,4/26,24.52,0,12,0,-18.94,
915,N Pooran (WI),2019-2020,25,932,118,49.05,1,-,-,-,-,8,1,-,
916,JF Reid (NZ),1980-1986,25,633,88,27.52,0,-,-,-,-,5,0,-,
917,KW Richardson (AUS),2013-2020,25,75,24*,15.0,0,39,5/68,31.79,1,7,0,-16.79,
918,Sharjeel Khan (PAK),2013-2017,25,812,152,32.48,1,-,-,-,-,6,0,-,
919,L Siaka (PNG),2014-2019,25,471,109,18.84,1,3,2/33,48.66,0,8,0,-29.82,
920,RJ Sidebottom (ENG),2001-2010,25,133,24,13.3,0,29,3/19,35.82,0,6,0,-22.52,
921,GR Viswanath (INDIA),1974-1982,25,439,75,19.95,0,-,-,-,-,3,0,-,
922,BA Williams (AUS),2002-2004,25,27,13*,13.5,0,35,5/22,23.25,2,4,0,-9.75,
923,Yasir Shah (PAK),2011-2019,25,127,32*,18.14,0,24,6/26,47.91,1,6,0,-29.77,
924,Aamer Malik (PAK),1988-1994,24,556,90,25.27,0,3,2/35,28.66,0,13,3,-3.39,
925,PR Adams (SA),1996-2003,24,66,33*,16.5,0,29,3/26,28.10,0,7,0,-11.60,
926,CA Best (WI),1986-1992,24,473,100,24.89,1,0,-,-,0,5,0,-,
927,JW Dernbach (ENG),2011-2013,24,19,5,2.71,0,31,4/45,42.19,0,5,0,-39.47,
928,AIC Dodemaide (AUS),1988-1993,24,124,30,13.77,0,36,5/21,20.91,1,7,0,-7.13,
929,KWR Fletcher (ENG),1971-1982,24,757,131,39.84,1,-,-,-,-,4,0,-,
930,AS Hansra (CAN),2010-2014,24,421,70*,23.38,0,7,3/27,59.00,0,7,0,-35.61,
931,Karim Sadiq (AFG),2009-2016,24,475,114*,23.75,2,6,2/10,33.50,0,6,0,-9.74,
932,AA Mulla (CAN),2006-2009,24,482,58,20.08,0,-,-,-,-,9,5,-,
933,MV Nagamootoo (WI),2000-2002,24,162,33,13.5,0,18,4/32,55.44,0,6,0,-41.94,
934,JM Parker (NZ),1974-1981,24,248,66,12.4,0,1,1/10,10.00,0,11,1,2.40,
935,KTGD Prasad (SL),2006-2015,24,129,31*,21.5,0,32,3/17,30.50,0,1,0,-8.99,
936,S Ramesh (INDIA),1999-1999,24,646,82,28.08,0,1,1/23,38.00,0,3,0,-9.91,
937,PADLR Sandakan (SL),2016-2020,24,34,6,3.4,0,20,4/52,58.05,0,8,0,-54.64,
938,Shafiqullah (AFG),2009-2018,24,430,56,22.63,0,-,-,-,-,11,3,-,
939,BV Vitori (ZIM),2011-2018,24,86,20*,7.81,0,32,5/20,35.90,2,4,0,-28.08,
940,DM Benkenstein (SA),1998-2002,23,305,69,17.94,0,4,3/5,11.00,0,3,0,6.94,
941,DH Brain (ZIM),1992-1995,23,117,27,8.35,0,21,3/51,40.42,0,5,0,-32.07,
942,DJ Capel (ENG),1987-1990,23,327,50*,19.23,0,17,3/38,47.35,0,6,0,-28.11,
943,PVD Chameera (SL),2015-2019,23,93,19*,13.28,0,19,3/20,41.89,0,4,0,-28.60,
944,TLW Cooper (NL),2010-2013,23,976,101,48.8,1,13,3/11,33.69,0,12,0,15.10,
945,NG Cowans (ENG),1983-1985,23,13,4*,2.6,0,23,3/44,39.69,0,5,0,-37.09,
946,MH Dekker (ZIM),1992-1996,23,379,79,18.95,0,9,2/16,32.22,0,5,0,-13.27,
947,SS Dighe (INDIA),2000-2001,23,256,94*,23.27,0,-,-,-,-,19,5,-,
948,T Duffin (ZIM),2006-2007,23,546,88,23.73,0,-,-,-,-,6,0,-,
949,GC Dyer (AUS),1986-1988,23,174,45*,15.81,0,-,-,-,-,24,4,-,
950,Faheem Ashraf (PAK),2017-2019,23,162,28,12.46,0,20,5/22,37.20,1,5,0,-24.73,
951,Ghulam Shabber (UAE),2017-2019,23,500,90,21.73,0,-,-,-,-,30,2,-,
952,PW Gunaratne (SL),2002-2003,23,36,15*,7.2,0,27,4/44,33.62,0,3,0,-26.42,
953,BM Laird (AUS),1979-1982,23,594,117*,29.7,1,-,-,-,-,5,0,-,
954,MW Machan (SCOT),2013-2016,23,734,114,33.36,1,9,3/31,42.66,0,4,0,-9.30,
955,JN Maguire (AUS),1983-1984,23,42,14*,7.0,0,19,3/61,40.47,0,2,0,-33.47,
956,NB Mahwire (ZIM),2004-2006,23,117,22*,10.63,0,21,3/29,36.90,0,6,0,-26.26,
957,Majid Khan (PAK),1973-1982,23,786,109,37.42,1,13,3/27,28.76,0,3,0,8.65,
958,Mohammad Akram (PAK),1995-2000,23,14,7*,7.0,0,19,2/28,41.57,0,8,0,-34.57,
959,RAP Nissanka (SL),2001-2003,23,53,11,6.62,0,27,4/12,31.74,0,3,0,-25.11,
960,SD Outerbridge (BMUDA),2006-2009,23,336,56,14.6,0,1,1/11,94.00,0,6,0,-79.39,
961,H Patel (CAN),2009-2013,23,468,62,21.27,0,10,4/28,35.30,0,7,0,-14.02,
962,SMA Priyanjan (SL),2013-2015,23,420,74,23.33,0,5,2/11,46.60,0,7,0,-23.26,
963,SK Sharma (INDIA),1988-1990,23,80,28,10.0,0,22,5/26,36.95,1,7,0,-26.95,
964,EO Simons (SA),1994-1995,23,217,24,15.5,0,33,4/42,24.54,0,6,0,-9.04,
965,ZE Surkari (CAN),2008-2011,23,328,49,17.26,0,-,-,-,-,6,0,-,
966,LP van Troost (NL),2002-2007,23,284,40,15.77,0,4,2/29,70.00,0,6,0,-54.22,
967,N Vanua (PNG),2014-2019,23,254,35,14.94,0,34,4/24,26.47,0,8,0,-11.52,
968,Anwar Ali (PAK),2013-2016,22,321,43*,29.18,0,18,3/66,52.44,0,4,0,-23.26,
969,Babar Hayat (HKG),2014-2018,22,784,89,39.2,0,0,-,-,0,11,0,-,
970,GEF Barnett (CAN),2006-2010,22,455,77,20.68,0,-,-,-,-,7,0,-,
971,AW Greig (ENG),1972-1977,22,269,48,16.81,0,19,4/45,32.57,0,7,0,-15.76,
972,PSP Handscomb (AUS),2017-2019,22,632,117,33.26,1,-,-,-,-,14,0,-,
973,DL Hemp (BMUDA),2006-2009,22,641,102*,33.73,1,1,1/25,119.00,0,7,0,-85.26,
974,M Hendrick (ENG),1973-1981,22,6,2*,1.2,0,35,5/31,19.45,1,5,0,-18.25,
975,LM Jongwe (ZIM),2014-2016,22,236,46,14.75,0,25,5/6,30.36,1,10,0,-15.60,
976,D Langford-Smith (IRE),2006-2008,22,142,31*,15.77,0,25,3/32,31.88,0,5,0,-16.10,
977,JK Lever (ENG),1976-1982,22,56,27*,8.0,0,24,4/29,29.70,0,6,0,-21.70,
978,Mohammad Saifuddin (BDESH),2017-2020,22,290,51*,32.22,0,31,4/41,31.35,0,3,0,0.86,
979,RJ Nicol (NZ),2011-2013,22,586,146,30.84,2,10,4/19,32.90,0,11,0,-2.05,
980,D Pretorius (SA),2016-2019,22,135,50,15.0,0,29,3/5,28.03,0,6,0,-13.03,
981,CJ Richards (ENG),1981-1988,22,154,50,11.84,0,-,-,-,-,16,1,-,
982,MJR Rindel (SA),1994-1999,22,575,106,27.38,1,6,2/15,40.33,0,8,0,-12.95,
983,BS Sandhu (INDIA),1982-1984,22,51,16*,12.75,0,16,3/27,47.68,0,5,0,-34.93,
984,T Shamsi (SA),2016-2020,22,0,0*,0.0,0,26,4/33,38.19,0,5,0,-38.19,
985,MD Shanaka (SL),2016-2019,22,468,68,26.0,0,10,5/43,27.40,1,3,0,-1.39,
986,Taufeeq Umar (PAK),2001-2011,22,504,81*,24.0,0,1,1/49,85.00,0,9,0,-60.99,
987,GB Troup (NZ),1976-1985,22,101,39,25.25,0,32,4/19,24.71,0,2,0,0.53,
988,S Viswanath (INDIA),1985-1988,22,72,23*,9.0,0,-,-,-,-,17,7,-,
989,I Wardlaw (SCOT),2013-2015,22,21,7*,3.5,0,36,4/22,28.77,0,1,0,-25.27,
990,TJ Zoehrer (AUS),1986-1994,22,130,50,10.83,0,-,-,-,-,21,2,-,
991,Adeel Raja (NL),2002-2011,21,28,8*,2.8,0,17,4/42,40.58,0,3,0,-37.78,
992,DL Bairstow (ENG),1979-1984,21,206,23*,14.71,0,-,-,-,-,17,4,-,
993,S Bau (PNG),2016-2019,21,378,59,18.9,0,2,2/35,62.00,0,8,0,-43.09,
994,DR Chumney (CAN),2003-2007,21,397,48,20.89,0,-,-,-,-,2,0,-,
995,RJ Harris (AUS),2009-2012,21,48,21,8.0,0,44,5/19,18.90,3,6,0,-10.90,
996,M Hayward (SA),1998-2002,21,12,4,3.0,0,21,4/31,40.85,0,4,0,-37.85,
997,RR Hendricks (SA),2018-2020,21,507,102,26.68,1,1,1/13,47.00,0,13,0,-20.31,
998,KS Lokuarachchi (SL),2003-2007,21,210,69,14.0,0,31,4/44,23.38,0,5,0,-9.38,
999,T Maruma (ZIM),2007-2019,21,196,35,11.52,0,4,2/50,57.50,0,12,0,-45.97,
1000,SG Peall (ZIM),1992-1996,21,91,21,6.5,0,8,3/54,84.75,0,1,0,-78.24,
1001,NO Perry (WI),1999-2000,21,212,52*,26.5,0,20,3/45,39.15,0,4,0,-12.64,
1002,AN Petersen (SA),2006-2013,21,504,80,28.0,0,0,-,-,0,5,0,-,
1003,AM Phangiso (SA),2013-2016,21,81,20,7.36,0,26,3/40,31.88,0,4,0,-24.52,
1004,NS Poonia (SCOT),2006-2009,21,237,67,11.28,0,-,-,-,-,7,0,-,
1005,SW Poynter (IRE),2014-2019,21,185,36,13.21,0,-,-,-,-,22,1,-,
1006,M Sheikh (KENYA),1997-2000,21,68,15*,6.8,0,19,4/36,32.89,0,7,0,-26.09,
1007,DC Thomas (WI),2009-2013,21,238,37,14.0,0,2,2/11,5.50,0,23,6,8.50,
1008,HE van der Dussen (SA),2019-2020,21,707,95,70.7,0,-,-,-,-,9,0,-,
1009,SA Ankola (INDIA),1989-1997,20,34,9,3.77,0,13,3/33,47.30,0,2,0,-43.52,
1010,DE Bernard (WI),2003-2010,20,141,38,14.1,0,14,3/32,37.57,0,7,0,-23.47,
1011,IP Butchart (ZIM),1983-1995,20,252,54,18.0,0,12,3/57,53.33,0,4,0,-35.33,
1012,TM Chappell (AUS),1980-1983,20,229,110,17.61,1,19,3/31,28.31,0,8,0,-10.70,
1013,DN Chudasama (KENYA),1996-1999,20,434,122,22.84,1,-,-,-,-,4,0,-,
1014,R Clarke (ENG),2003-2006,20,144,39,11.07,0,11,2/28,37.72,0,11,0,-26.65,
1015,TK Curran (ENG),2017-2020,20,198,47*,39.6,0,27,5/35,33.11,1,4,0,6.48,
1016,DR Flynn (NZ),2008-2012,20,228,35,15.2,0,0,-,-,0,4,0,-,
1017,Hannan Sarkar (BDESH),2002-2004,20,383,61,19.15,0,0,-,-,0,8,0,-,
1018,BC Hollioake (ENG),1997-2002,20,309,63,20.6,0,8,2/37,66.50,0,6,0,-45.89,
1019,Imran Haider (UAE),2017-2019,20,58,18*,8.28,0,32,4/25,26.28,0,5,0,-17.99,
1020,APE Knott (ENG),1971-1977,20,200,50,20.0,0,-,-,-,-,15,1,-,
1021,AO Malhotra (INDIA),1982-1986,20,457,65,30.46,0,0,-,-,0,4,0,-,
1022,CS Martin (NZ),2001-2008,20,8,3,1.6,0,18,3/62,44.66,0,7,0,-43.06,
1023,PJ Martin (ENG),1995-1998,20,38,6,6.33,0,27,4/44,29.85,0,1,0,-23.51,
1024,AD Mascarenhas (ENG),2007-2009,20,245,52,22.27,0,13,3/23,48.76,0,4,0,-26.49,
1025,DA Minors (BMUDA),2006-2007,20,478,68,26.55,0,-,-,-,-,16,4,-,
1026,S Mukuddem (BMUDA),2006-2007,20,331,57,23.64,0,23,4/40,32.69,0,8,0,-9.05,
1027,Nizakat Khan (HKG),2014-2018,20,675,94,33.75,0,4,1/11,29.75,0,9,0,4.00,
1028,ASA Perera (SL),1998-2001,20,195,56*,17.72,0,13,2/25,40.15,0,4,0,-22.42,
1029,AJ Pycroft (ZIM),1983-1992,20,295,61,17.35,0,-,-,-,-,6,0,-,
1030,Shahriar Hossain (BDESH),1997-2004,20,362,95,19.05,0,-,-,-,-,5,0,-,
1031,PM Siddle (AUS),2009-2019,20,31,10*,10.33,0,17,3/55,43.70,0,1,0,-33.37,
1032,SAR Silva (SL),1984-1985,20,441,85,22.05,0,-,-,-,-,17,3,-,
1033,Sohag Gazi (BDESH),2012-2014,20,184,30,15.33,0,22,4/29,32.81,0,7,0,-17.48,
