,Player,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,Unnamed: 14
0,SR Tendulkar (INDIA),1989-2012,463,18426,200*,44.83,49,154,5/32,44.48,2,140,0,0.35,
1,DPMD Jayawardene (Asia/SL),1998-2015,448,12650,144,33.37,19,8,2/56,70.37,0,218,0,-36.99,
2,ST Jayasuriya (Asia/SL),1989-2011,445,13430,189,32.36,28,323,6/29,36.75,4,123,0,-4.39,
3,KC Sangakkara (Asia/ICC/SL),2000-2015,404,14234,169,41.98,25,-,-,-,-,402,99,-,
4,Shahid Afridi (Asia/ICC/PAK),1996-2015,398,8064,124,23.57,6,395,7/12,34.51,9,127,0,-10.93,
5,Inzamam-ul-Haq (Asia/PAK),1991-2007,378,11739,137*,39.52,10,3,1/0,21.33,0,113,0,18.19,
6,RT Ponting (AUS/ICC),1995-2012,375,13704,164,42.03,30,3,1/12,34.66,0,160,0,7.37,
7,Wasim Akram (PAK),1984-2003,356,3717,86,16.52,0,502,5/15,23.52,6,88,0,-7.00,
8,MS Dhoni (Asia/INDIA),2004-2019,350,10773,183*,50.57,10,1,1/14,31.00,0,321,123,19.57,
9,M Muralitharan (Asia/ICC/SL),1993-2011,350,674,33*,6.8,0,534,7/30,23.08,10,130,0,-16.27,
10,R Dravid (Asia/ICC/INDIA),1996-2011,344,10889,153,39.16,12,4,2/43,42.50,0,196,14,-3.33,
11,M Azharuddin (INDIA),1985-2000,334,9378,153*,36.92,7,12,3/19,39.91,0,156,0,-2.99,
12,TM Dilshan (SL),1999-2016,330,10290,161*,39.27,22,106,4/4,45.07,0,123,1,-5.80,
13,JH Kallis (Afr/ICC/SA),1996-2014,328,11579,139,44.36,17,273,5/30,31.79,2,131,0,12.56,
14,SR Waugh (AUS),1986-2002,325,7569,120*,32.9,3,195,4/33,34.67,0,111,0,-1.76,
15,WPUJC Vaas (Asia/SL),1994-2008,322,2025,50*,13.68,0,400,8/19,27.53,4,60,0,-13.85,
16,SC Ganguly (Asia/INDIA),1992-2007,311,11363,183,41.02,22,100,5/16,38.49,2,100,0,2.53,
17,PA de Silva (SL),1984-2003,308,9284,145,34.9,11,106,4/30,39.40,0,95,0,-4.50,
18,Yuvraj Singh (Asia/INDIA),2000-2017,304,8701,150,36.55,14,111,5/31,38.68,1,94,0,-2.12,
19,SM Pollock (Afr/ICC/SA),1996-2008,303,3519,130,26.45,1,393,6/35,24.50,5,108,0,1.95,
20,CH Gayle (ICC/WI),1999-2019,301,10480,215,37.83,25,167,5/46,35.48,1,124,0,2.34,
21,BC Lara (ICC/WI),1990-2007,299,10405,169,40.48,19,4,2/5,15.25,0,120,0,25.23,
22,MV Boucher (Afr/SA),1998-2011,295,4686,147*,28.57,1,-,-,-,-,403,22,-,
23,DL Vettori (ICC/NZ),1997-2015,295,2253,83,17.33,0,305,5/7,31.71,2,88,0,-14.38,
24,Mohammad Yousuf (Asia/PAK),1998-2010,288,9720,141*,41.71,15,1,1/0,1.00,0,58,0,40.71,
25,AC Gilchrist (AUS/ICC),1996-2008,287,9619,172,35.89,16,-,-,-,-,417,55,-,
26,Shoaib Malik (PAK),1999-2019,287,7534,143,34.55,9,158,4/19,39.18,0,98,0,-4.63,
27,Saleem Malik (PAK),1982-1999,283,7170,102,32.88,5,89,5/35,33.24,1,81,0,-0.35,
28,SP Fleming (ICC/NZ),1994-2007,280,8037,134*,32.4,8,1,1/8,28.00,0,133,0,4.40,
29,AR Border (AUS),1979-1994,273,6524,127*,30.62,3,73,3/20,28.36,0,127,0,2.25,
30,A Kumble (Asia/INDIA),1990-2007,271,938,26,10.53,0,337,6/12,30.89,2,85,0,-20.35,
31,A Ranatunga (SL),1982-1999,269,7456,131*,35.84,4,79,4/14,47.55,0,63,0,-11.71,
32,MS Atapattu (SL),1990-2007,268,8529,132*,37.57,11,0,-,-,0,70,0,-,
33,S Chanderpaul (WI),1994-2011,268,8778,150,41.6,11,14,3/18,45.42,0,73,0,-3.82,
34,Abdul Razzaq (Asia/PAK),1996-2011,265,5080,112,29.7,3,269,6/35,31.83,3,35,0,-2.12,
35,Younis Khan (PAK),2000-2015,265,7249,144,31.24,7,3,1/3,96.00,0,135,0,-64.75,
36,Waqar Younis (PAK),1989-2003,262,969,37,10.3,0,416,7/36,23.84,13,35,0,-13.53,
37,BB McCullum (NZ),2002-2016,260,6083,166,30.41,5,-,-,-,-,262,15,-,
38,V Sehwag (Asia/ICC/INDIA),1999-2013,251,8273,219,35.05,15,96,4/6,40.13,0,93,0,-5.08,
39,CZ Harris (NZ),1990-2004,250,4379,130,29.0,1,203,5/42,37.50,1,96,0,-8.50,
40,Ijaz Ahmed (PAK),1986-2000,250,6564,139*,32.33,10,5,2/31,95.20,0,90,0,-62.86,
41,GD McGrath (AUS/ICC),1993-2007,250,115,11,3.83,0,381,7/15,22.02,7,37,0,-18.19,
42,HH Gibbs (SA),1996-2010,248,8094,175,36.13,21,-,-,-,-,108,0,-,
43,V Kohli (INDIA),2008-2020,248,11867,183,59.33,43,4,1/15,166.25,0,128,0,-106.91,
44,Saeed Anwar (PAK),1989-2003,247,8824,194,39.21,20,6,2/9,31.83,0,42,0,7.38,
45,MJ Clarke (AUS),2003-2015,245,7981,130,44.58,8,57,5/35,37.64,1,106,0,6.93,
46,JN Rhodes (SA),1992-2003,245,5935,121,35.11,2,0,-,-,0,105,0,-,
47,ME Waugh (AUS),1988-2002,244,8500,173,39.35,18,85,5/24,34.56,1,108,0,4.78,
48,DL Haynes (WI),1978-1994,238,8648,152*,41.37,17,0,-,-,0,59,0,-,
49,Harbhajan Singh (Asia/INDIA),1998-2015,236,1237,49,13.3,0,269,5/31,33.35,3,71,0,-20.05,
50,EJG Morgan (ENG/IRE),2006-2020,236,7368,148,39.4,13,-,-,-,-,83,0,-,
51,WU Tharanga (Asia/SL),2005-2019,235,6951,174*,33.74,15,-,-,-,-,50,0,-,
52,Javed Miandad (PAK),1975-1996,233,7381,119*,41.7,8,7,2/22,42.42,0,71,2,-0.72,
53,MG Bevan (AUS),1994-2004,232,6912,108*,53.58,6,36,3/36,45.97,0,69,0,7.60,
54,LRPL Taylor (NZ),2006-2020,232,8574,181*,48.44,21,0,-,-,0,139,0,-,
55,J Srinath (INDIA),1991-2003,229,883,53,10.63,0,315,5/23,28.08,3,32,0,-17.44,
56,AB de Villiers (Afr/SA),2005-2018,228,9577,176,53.5,25,7,2/15,28.85,0,176,5,24.64,
57,CL Hooper (WI),1987-2003,227,5761,113*,35.34,7,193,4/34,36.05,0,120,0,-0.70,
58,SL Malinga (SL),2004-2019,226,567,56,6.83,0,338,6/38,28.87,8,31,0,-22.04,
59,SK Raina (INDIA),2005-2018,226,5615,116*,35.31,5,36,3/34,50.30,0,102,0,-14.99,
60,N Kapil Dev (INDIA),1978-1994,225,3783,175*,23.79,1,253,5/43,27.45,1,71,0,-3.65,
61,RB Richardson (WI),1983-1996,224,6248,122,33.41,5,1,1/4,46.00,0,75,0,-12.58,
62,RG Sharma (INDIA),2007-2020,224,9115,264,49.27,29,8,2/27,64.37,0,77,0,-15.10,
63,NJ Astle (NZ),1995-2007,223,7090,145*,34.92,16,99,4/43,38.47,0,83,0,-3.54,
64,GW Flower (ZIM),1992-2010,221,6571,142*,33.52,6,104,4/32,40.62,0,86,0,-7.09,
65,B Lee (AUS),2000-2012,221,1176,59,17.81,0,380,5/22,23.36,9,54,0,-5.54,
66,Mashrafe Mortaza (Asia/BDESH),2001-2020,220,1787,51*,13.74,0,270,6/26,32.93,1,62,0,-19.19,
67,Moin Khan (PAK),1990-2004,219,3266,72*,23.0,0,-,-,-,-,214,73,-,
68,Mohammad Hafeez (PAK),2003-2019,218,6614,140*,32.9,11,139,4/41,38.84,0,85,0,-5.94,
69,Mushfiqur Rahim (BDESH),2006-2020,218,6174,144,36.31,7,-,-,-,-,181,44,-,
70,AD Mathews (SL),2008-2020,217,5830,139*,41.94,3,120,6/20,33.35,1,53,0,8.58,
71,CL Cairns (ICC/NZ),1991-2006,215,4950,115,29.46,4,201,5/42,32.80,1,66,0,-3.34,
72,E Chigumbura (Afr/ZIM),2004-2018,213,4340,117,25.23,2,101,4/28,42.31,0,72,0,-17.08,
73,A Flower (ZIM),1992-2003,213,6786,145,35.34,4,0,-,-,0,141,32,-,
74,RS Mahanama (SL),1986-1999,213,5162,119*,29.49,4,0,-,-,0,109,0,-,
75,H Masakadza (ZIM),2001-2019,209,5658,178*,27.73,5,39,3/39,41.94,0,71,0,-14.21,
76,DR Martyn (AUS),1992-2006,208,5346,144*,40.8,5,12,2/21,58.66,0,69,0,-17.85,
77,MN Samuels (WI),2000-2018,207,5606,133*,32.97,10,89,3/12,46.37,0,50,0,-13.39,
78,Tamim Iqbal (BDESH),2007-2020,207,7202,158,36.74,13,0,-,-,0,54,0,-,
79,Shakib Al Hasan (BDESH),2006-2019,206,6323,134*,37.86,9,260,5/29,30.21,2,50,0,7.64,
80,CA Walsh (WI),1985-2000,205,321,30,6.97,0,227,5/1,30.47,1,27,0,-23.49,
81,Z Khan (Asia/INDIA),2000-2012,200,792,34*,12.0,0,282,5/42,29.43,1,43,0,-17.43,
82,HP Tillakaratne (SL),1986-2003,200,3789,104,29.6,2,6,1/3,23.50,0,89,6,6.10,
83,JP Duminy (SA),2004-2019,199,5117,150*,36.81,4,69,4/16,45.55,0,82,0,-8.73,
84,Ramiz Raja (PAK),1985-1997,198,5841,119*,32.09,9,0,-,-,0,33,0,-,
85,A Symonds (AUS),1998-2009,198,5088,156,39.75,6,133,5/18,37.25,1,82,0,2.49,
86,PD Collingwood (ENG),2001-2011,197,5092,120*,35.36,5,111,6/31,38.68,1,108,0,-3.32,
87,CD McMillan (NZ),1997-2007,197,4707,117,28.18,3,49,3/20,35.04,0,44,0,-6.85,
88,GC Smith (Afr/SA),2002-2013,197,6989,141,37.98,10,18,3/30,52.83,0,105,0,-14.84,
89,A Jadeja (INDIA),1992-2000,196,5359,119,37.47,6,20,3/3,54.70,0,59,0,-17.22,
90,BRM Taylor (ZIM),2004-2020,196,6326,145*,35.14,10,9,3/54,45.11,0,125,29,-9.96,
91,JM Anderson (ENG),2002-2015,194,273,28,7.58,0,269,5/23,29.22,2,53,0,-21.63,
92,SK Warne (AUS/ICC),1993-2005,194,1018,55,13.05,0,293,5/33,25.73,1,80,0,-12.68,
93,AB Agarkar (INDIA),1998-2007,191,1269,95,14.58,0,288,6/42,27.85,2,52,0,-13.26,
94,SR Watson (AUS),2002-2015,190,5757,185*,40.54,9,168,4/36,31.79,0,64,0,8.74,
95,RS Kaluwitharana (SL),1990-2004,189,3711,102*,22.22,2,-,-,-,-,132,75,-,
96,HH Streak (Afr/ZIM),1993-2005,189,2943,79*,28.29,0,239,5/32,29.82,1,46,0,-1.53,
97,ADR Campbell (ZIM),1992-2003,188,5185,131*,30.5,7,12,2/20,36.16,0,76,0,-5.66,
98,WJ Cronje (SA),1992-2000,188,5565,112,38.64,2,114,5/32,34.78,1,73,0,3.85,
99,Mahmudullah (BDESH),2007-2020,188,4070,128*,33.63,3,76,3/4,46.85,0,64,0,-13.21,
100,SB Styris (NZ),1999-2011,188,4483,141,32.48,4,137,6/25,35.32,1,73,0,-2.83,
101,IVA Richards (WI),1975-1991,187,6721,189*,47.0,11,118,6/41,35.83,2,100,0,11.16,
102,MEK Hussey (AUS),2004-2012,185,5442,109*,48.15,3,2,1/22,117.50,0,105,0,-69.34,
103,G Kirsten (SA),1993-2003,185,6798,188*,40.95,13,0,-,-,0,61,1,-,
104,KMDN Kulasekara (SL),2003-2017,184,1327,73,15.43,0,199,5/22,33.92,1,46,0,-18.49,
105,MJ Guptill (NZ),2009-2020,183,6843,237*,42.5,16,4,2/6,24.50,0,91,0,18.00,
106,HM Amla (SA),2008-2019,181,8113,159,49.46,27,-,-,-,-,87,0,-,
107,DC Boon (AUS),1984-1995,181,5964,122,37.04,5,0,-,-,0,45,0,-,
108,RR Sarwan (WI),2000-2013,181,5804,120*,42.67,5,16,3/31,36.62,0,45,0,6.05,
109,RP Arnold (SL),1997-2007,180,3950,103,35.26,1,40,3/47,43.47,0,48,0,-8.20,
110,AC Parore (NZ),1992-2002,179,3314,108,25.68,1,-,-,-,-,116,25,-,
111,Mohammad Ashraful (Asia/BDESH),2001-2013,177,3468,109,22.23,3,18,3/26,36.72,0,35,0,-14.49,
112,CEL Ambrose (WI),1988-2000,176,639,31*,10.65,0,225,5/17,24.12,4,45,0,-13.47,
113,Imran Khan (PAK),1974-1992,175,3709,102*,33.41,1,182,6/14,26.61,1,36,0,6.79,
114,M Ntini (ICC/SA),1998-2009,173,199,42*,8.65,0,266,6/22,24.65,4,30,0,-16.00,
115,L Klusener (SA),1996-2004,171,3576,103*,41.1,2,192,6/49,29.95,6,35,0,11.15,
116,KD Mills (NZ),2001-2015,170,1047,54,15.62,0,240,5/25,27.02,1,42,0,-11.39,
117,AJ Stewart (ENG),1989-2003,170,4677,116,31.6,4,-,-,-,-,159,15,-,
118,PJL Dujon (WI),1981-1991,169,1945,82*,23.15,0,-,-,-,-,183,21,-,
119,Saqlain Mushtaq (PAK),1995-2003,169,711,37*,11.85,0,288,5/20,21.78,6,40,0,-9.93,
120,IA Healy (AUS),1988-1997,168,1764,56,21.0,0,-,-,-,-,194,39,-,
121,Rashid Latif (PAK),1992-2003,166,1709,79,19.42,0,-,-,-,-,182,38,-,
122,RA Jadeja (INDIA),2009-2020,165,2296,87,31.88,0,187,5/36,36.57,1,58,0,-4.68,
123,DJ Bravo (WI),2004-2014,164,2968,112*,25.36,2,199,6/43,29.51,1,73,0,-4.15,
124,AA Donald (SA),1991-2003,164,95,13,4.31,0,272,6/23,21.78,2,28,0,-17.46,
125,DM Jones (AUS),1984-1994,164,6068,145,44.61,7,3,2/34,27.00,0,54,0,17.61,
126,NLTC Perera (SL),2009-2020,164,2316,140,20.13,1,172,6/44,32.95,4,62,0,-12.81,
127,P Utseya (ZIM),2004-2015,164,1406,68*,16.73,0,133,5/36,46.90,1,50,0,-30.17,
128,Aaqib Javed (PAK),1988-1998,163,267,45*,10.68,0,182,7/37,31.43,4,24,0,-20.75,
129,Shoaib Akhtar (Asia/ICC/PAK),1998-2011,163,394,43,8.95,0,247,6/16,24.97,4,20,0,-16.02,
130,Misbah-ul-Haq (PAK),2002-2015,162,5122,96*,43.4,0,0,-,-,0,66,0,-,
131,IR Bell (ENG),2004-2015,161,5416,141,37.87,4,6,3/9,14.66,0,54,0,23.20,
132,ML Hayden (AUS/ICC),1993-2008,161,6133,181*,43.8,10,0,-,-,0,68,0,-,
133,BKV Prasad (INDIA),1994-2001,161,221,19,6.9,0,196,5/27,32.30,1,37,0,-25.39,
134,JDP Oram (NZ),2001-2012,160,2434,101*,24.09,1,173,5/26,29.17,2,51,0,-5.07,
135,D Gough (ENG/ICC),1994-2006,159,609,46*,12.42,0,235,5/44,26.42,2,25,0,-13.99,
136,AL Logie (WI),1981-1993,158,2809,109*,28.95,1,0,-,-,0,61,0,-,
137,Kamran Akmal (PAK),2002-2017,157,3236,124,26.09,5,-,-,-,-,157,31,-,
138,Aamer Sohail (PAK),1990-2000,156,4780,134,31.86,5,85,4/22,43.56,0,49,0,-11.69,
139,Abdur Razzak (BDESH),2004-2014,153,779,53*,13.43,0,207,5/29,29.29,4,32,0,-15.86,
140,MG Johnson (AUS),2005-2015,153,951,73*,16.11,0,239,6/31,25.26,3,35,0,-9.14,
141,KS Williamson (NZ),2010-2020,151,6173,148,47.48,13,37,4/22,35.40,0,60,0,12.07,
142,RJ Shastri (INDIA),1981-1992,150,3108,109,29.04,4,129,5/15,36.04,1,40,0,-6.99,
143,T Taibu (Afr/ZIM),2001-2012,150,3393,107*,29.25,2,2,2/42,30.50,0,114,33,-1.24,
144,JG Wright (NZ),1978-1992,149,3891,101,26.46,1,0,-,-,0,51,0,-,
145,UDU Chandana (SL),1994-2007,147,1627,89,17.3,0,151,5/61,31.90,1,79,0,-14.59,
146,CRD Fernando (Asia/SL),2001-2012,147,239,20,9.19,0,187,6/27,30.20,1,27,0,-21.01,
147,G Gambhir (INDIA),2003-2013,147,5238,150*,39.68,11,0,-,-,0,36,0,-,
148,AP Gurusinha (SL),1985-1996,147,3902,117*,28.27,2,26,2/25,52.07,0,49,0,-23.80,
149,RD Jacobs (WI),1996-2004,147,1865,80*,23.31,0,-,-,-,-,160,29,-,
150,GJ Whittall (ZIM),1993-2003,147,2705,83,22.54,0,88,4/35,39.55,0,36,0,-17.01,
151,LD Chandimal (SL),2010-2019,146,3599,111,32.42,4,-,-,-,-,59,7,-,
152,JE Root (ENG),2013-2020,146,5922,133*,51.05,16,24,3/52,60.20,0,74,0,-9.15,
153,K Srikkanth (INDIA),1981-1992,146,4091,123,29.01,4,25,5/27,25.64,2,42,0,3.37,
154,KJ O'Brien (IRE),2006-2020,145,3546,142,30.56,2,113,4/13,32.49,0,64,0,-1.92,
155,Mushtaq Ahmed (PAK),1989-2003,144,399,34*,9.5,0,161,5/36,33.29,1,30,0,-23.79,
156,Azhar Mahmood (PAK),1996-2007,143,1521,67,18.1,0,123,6/18,39.13,3,37,0,-21.02,
157,MD Crowe (NZ),1982-1995,143,4704,107*,38.55,4,29,2/9,32.89,0,66,0,5.66,
158,F du Plessis (SA),2011-2019,143,5507,185,47.47,12,2,1/8,94.50,0,81,0,-47.02,
159,PV Simmons (WI),1987-1999,143,3675,122,28.93,5,83,4/3,34.65,0,55,0,-5.71,
160,TG Southee (NZ),2008-2020,143,679,55,12.57,0,190,7/33,34.51,3,39,0,-21.94,
161,JC Buttler (ENG),2012-2019,142,3843,150,40.88,9,-,-,-,-,171,31,-,
162,HDPK Dharmasena (SL),1994-2004,141,1222,69*,22.62,0,138,4/37,36.21,0,34,0,-13.58,
163,A Flintoff (ENG/ICC),1999-2009,141,3394,123,32.01,3,169,5/19,24.38,2,47,0,7.63,
164,NR Mongia (INDIA),1994-2000,140,1272,69,20.19,0,-,-,-,-,110,44,-,
165,WTS Porterfield (IRE),2006-2020,139,4091,139,30.75,11,-,-,-,-,64,0,-,
166,D Ramdin (WI),2005-2016,139,2200,169,25.0,2,-,-,-,-,181,7,-,
167,DJ Cullinan (SA),1993-2000,138,3860,124,32.99,3,5,2/30,24.80,0,62,0,8.19,
168,CJ McDermott (AUS),1985-1996,138,432,37,7.08,0,203,5/44,24.71,1,27,0,-17.63,
169,S Dhawan (INDIA),2010-2020,136,5688,143,45.14,17,-,-,-,-,62,0,-,
170,MD Marshall (WI),1980-1992,136,955,66,14.92,0,157,4/18,26.96,0,15,0,-12.03,
171,TM Odoyo (Afr/KENYA),1996-2014,136,2420,111*,23.49,1,145,4/25,29.89,0,28,0,-6.40,
172,KP Pietersen (ENG/ICC),2004-2013,136,4440,130,40.73,9,7,2/22,52.85,0,40,0,-12.12,
173,NS Sidhu (INDIA),1987-1998,136,4413,134*,37.08,6,0,-,-,0,20,0,-,
174,RR Singh (INDIA),1989-2001,136,2336,100,25.95,1,69,5/22,43.26,2,33,0,-17.30,
175,SO Tikolo (Afr/KENYA),1996-2014,135,3428,111,29.05,3,94,4/41,34.20,0,67,0,-5.15,
176,GP Wickramasinghe (SL),1990-2002,134,344,32,8.6,0,109,4/48,39.64,0,26,0,-31.04,
177,SC Williams (ZIM),2005-2020,133,3761,129*,33.88,3,71,4/43,47.61,0,50,0,-13.73,
178,DA Miller (SA),2010-2020,132,3231,139,40.38,5,-,-,-,-,61,0,-,
179,M Prabhakar (INDIA),1984-1996,130,1858,106,24.12,2,157,5/33,28.87,2,27,0,-4.74,
180,Umar Gul (PAK),2003-2016,130,457,39,9.72,0,179,6/42,29.34,2,17,0,-19.62,
181,DB Vengsarkar (INDIA),1976-1991,129,3508,105,34.73,1,0,-,-,0,37,0,-,
182,CG Greenidge (WI),1975-1991,128,5134,133*,45.03,11,1,1/21,45.00,0,45,0,0.03,
183,JC Adams (WI),1992-2001,127,2204,82,28.62,0,43,5/37,34.86,1,68,5,-6.23,
184,V Sibanda (Afr/ZIM),2003-2016,127,2994,116,24.54,2,3,1/12,88.33,0,42,0,-63.79,
185,AJ Strauss (ENG),2003-2011,127,4205,158,35.63,6,0,-,-,0,57,0,-,
186,HDRL Thirimanne (SL),2010-2019,127,3194,139*,34.71,4,3,2/36,31.33,0,38,0,3.38,
187,AJ Finch (AUS),2013-2020,126,4882,153*,41.02,16,4,1/2,64.75,0,60,0,-23.72,
188,BJ Haddin (AUS),2001-2015,126,3122,110,31.53,2,-,-,-,-,170,11,-,
189,Khaled Mashud (BDESH),1995-2006,126,1818,71*,21.9,0,-,-,-,-,91,35,-,
190,DJG Sammy (WI),2004-2015,126,1871,89,24.94,0,81,4/26,47.54,0,67,0,-22.59,
191,GA Gooch (ENG),1976-1995,125,4290,142,36.98,8,36,3/19,42.11,0,45,0,-5.12,
192,M Kaif (INDIA),2002-2006,125,2753,111*,32.01,2,-,-,-,-,55,0,-,
193,Mohammad Rafique (Asia/BDESH),1995-2007,125,1191,77,13.38,0,125,5/47,37.91,1,28,0,-24.52,
194,SPD Smith (AUS),2010-2020,125,4162,164,42.46,9,28,3/16,34.67,0,67,0,7.79,
195,DW Steyn (Afr/SA),2005-2019,125,365,60,9.35,0,196,6/39,25.95,3,28,0,-16.59,
196,Mohammad Nabi (AFG),2009-2019,124,2782,116,27.82,1,130,4/30,32.54,0,55,0,-4.72,
197,GB Hogg (AUS),1996-2008,123,790,71*,20.25,0,156,5/32,26.84,2,36,0,-6.58,
198,ME Trescothick (ENG),2000-2006,123,4335,137,37.37,12,4,2/7,54.75,0,49,0,-17.37,
199,DA Warner (AUS),2009-2020,123,5267,179,45.8,18,0,-,-,0,55,0,-,
200,AJ Lamb (ENG),1982-1992,122,4010,118,39.31,4,0,-,-,0,31,0,-,
201,Mudassar Nazar (PAK),1977-1989,122,2653,95,25.26,0,111,5/28,30.91,1,21,0,-5.65,
202,DJ Richardson (SA),1991-1998,122,868,53,19.72,0,-,-,-,-,148,17,-,
203,SCJ Broad (ENG),2006-2016,121,529,45*,12.3,0,178,5/23,30.13,1,27,0,-17.83,
204,Q de Kock (SA),2013-2020,121,5135,178,44.65,15,-,-,-,-,164,9,-,
205,GR Larsen (NZ),1990-1999,121,629,37,14.62,0,113,4/24,35.39,0,23,0,-20.77,
206,KR Rutherford (NZ),1985-1995,121,3143,108,29.65,2,10,2/39,32.30,0,41,0,-2.64,
207,Umar Akmal (PAK),2009-2019,121,3194,102*,34.34,2,-,-,-,-,77,13,-,
208,RS Bopara (ENG),2007-2015,120,2695,101*,30.62,1,40,4/38,38.07,0,35,0,-7.44,
209,GA Hick (ENG),1991-2001,120,3846,126*,37.33,5,30,5/33,34.20,1,64,0,3.13,
210,A Nehra (Asia/INDIA),2001-2011,120,141,24,5.64,0,157,6/23,31.72,2,18,0,-26.08,
211,IK Pathan (INDIA),2004-2012,120,1544,83,23.39,0,173,5/27,29.72,2,21,0,-6.32,
212,WW Hinds (WI),1999-2010,119,2880,127*,28.51,5,28,3/24,29.89,0,29,0,-1.37,
213,DS Lehmann (AUS),1996-2005,117,3078,119,38.96,4,52,4/7,27.78,0,26,0,11.17,
214,GR Marsh (AUS),1986-1992,117,4357,126*,39.97,9,0,-,-,0,31,0,-,
215,M Morkel (Afr/SA),2007-2018,117,268,32*,9.24,0,188,5/21,25.32,2,31,0,-16.08,
216,PR Stirling (IRE),2008-2020,117,4121,177,36.79,8,43,6/55,44.23,1,45,0,-7.43,
217,IT Botham (ENG),1976-1992,116,2113,79,23.21,0,145,4/31,28.54,0,36,0,-5.32,
218,NW Bracken (AUS),2001-2009,116,199,21*,11.7,0,174,5/47,24.36,2,26,0,-12.66,
219,Sarfaraz Ahmed (PAK),2007-2019,116,2302,105,33.85,2,0,-,-,0,116,24,-,
220,N Boje (Afr/SA),1995-2005,115,1414,129,26.67,2,96,5/21,35.57,1,33,0,-8.89,
221,Sir RJ Hadlee (NZ),1973-1990,115,1751,79,21.61,0,158,5/25,21.56,5,27,0,0.05,
222,JO Holder (WI),2013-2020,115,1821,99*,24.94,0,136,5/27,36.38,2,50,0,-11.43,
223,EJ Chatfield (NZ),1979-1989,114,118,19*,10.72,0,140,5/34,25.84,1,19,0,-15.11,
224,DI Gower (ENG),1978-1991,114,3170,158,30.77,7,0,-,-,0,44,0,-,
225,B Kumar (INDIA),2012-2019,114,526,53*,14.21,0,132,5/42,34.60,1,27,0,-20.38,
226,DM Bravo (WI),2009-2020,113,2902,124,30.54,3,-,-,-,-,34,0,-,
227,S Matsikenyeri (ZIM),2002-2015,113,2224,90,22.01,0,16,2/25,48.62,0,37,0,-26.60,
228,KA Pollard (WI),2007-2020,113,2496,119,26.0,3,53,3/27,39.71,0,61,0,-13.71,
229,Saeed Ajmal (PAK),2008-2015,113,324,33,7.04,0,184,5/24,22.72,2,25,0,-15.68,
230,MA Taylor (AUS),1989-1997,113,3514,105,32.23,1,-,-,-,-,56,0,-,
231,Asghar Afghan (AFG),2009-2019,111,2356,101,24.54,1,3,1/1,30.33,0,24,0,-5.79,
232,R Ashwin (INDIA),2010-2017,111,675,65,16.07,0,150,4/25,32.91,0,30,0,-16.84,
233,SV Carlisle (ZIM),1995-2005,111,2740,121*,27.67,3,-,-,-,-,39,0,-,
234,Habibul Bashar (BDESH),1995-2007,111,2168,78,21.68,0,1,1/31,142.00,0,26,0,-120.31,
235,JEC Franklin (NZ),2001-2013,110,1270,98*,23.96,0,81,5/42,41.40,1,26,0,-17.44,
236,GJ Maxwell (AUS),2012-2019,110,2877,102,32.32,1,50,4/46,50.50,0,65,0,-18.17,
237,MF Maharoof (SL),2004-2016,109,1113,69*,19.52,0,135,6/14,28.06,2,26,0,-8.54,
238,RL Powell (WI),1999-2005,109,2085,124,24.82,1,11,2/5,44.63,0,43,0,-19.81,
239,KC Wessels (AUS/SA),1983-1994,109,3367,107,34.35,1,18,2/16,37.00,0,49,0,-2.64,
240,M Dillon (WI),1997-2005,108,227,21*,7.32,0,130,5/29,32.44,3,20,0,-25.12,
241,SM Gavaskar (INDIA),1974-1987,108,3092,103*,35.13,1,1,1/10,25.00,0,22,0,10.13,
242,HH Dippenaar (Afr/SA),1999-2007,107,3421,125*,42.23,4,-,-,-,-,36,0,-,
243,Imran Tahir (SA),2011-2019,107,157,29,7.85,0,173,7/45,24.83,3,25,0,-16.98,
244,KLT Arthurton (WI),1988-1999,105,1904,84,26.08,0,42,4/31,27.59,0,27,0,-1.51,
245,RA Harper (WI),1983-1996,105,855,45*,16.13,0,100,4/40,34.31,0,55,0,-18.17,
246,DR Smith (WI),2004-2015,105,1560,97,18.57,0,61,5/45,37.45,1,31,0,-18.88,
247,GC Wilson (IRE),2007-2019,105,2072,113,23.81,1,-,-,-,-,73,10,-,
248,Abdul Qadir (PAK),1983-1993,104,641,41*,15.26,0,132,5/44,26.16,2,21,0,-10.90,
249,CJ Chibhabha (ZIM),2005-2020,104,2399,99,23.51,0,35,4/25,46.14,0,33,0,-22.62,
250,VG Kambli (INDIA),1991-2000,104,2477,106,32.59,2,1,1/7,7.00,0,15,0,25.59,
251,CO Obuya (KENYA),2001-2014,104,2044,98*,25.55,0,35,5/24,46.77,1,43,0,-21.22,
252,PAJ DeFreitas (ENG),1987-1997,103,690,67,16.04,0,115,4/35,32.82,0,26,0,-16.77,
253,NJ O'Brien (IRE),2006-2018,103,2581,109,28.05,1,-,-,-,-,90,14,-,
254,MM Ali (ENG),2014-2020,102,1783,128,25.84,3,85,4/46,48.60,0,32,0,-22.75,
255,MA Holding (WI),1976-1987,102,282,64,9.09,0,142,5/26,21.36,1,30,0,-12.26,
256,CK Kapugedera (SL),2006-2017,102,1624,95,21.09,0,2,1/24,112.50,0,31,0,-91.40,
